Player,Position,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
De'Anthony Melton,Shooting Guard,43,29.3,10.9,4,9.6,41.8,2.3,5.8,39,0.7,0.9,75.7,4.5,2.9,1.9,0.5,1.5,0,0
Tyus Jones,Point Guard,45,23.5,10.8,4,9.1,44.6,1.6,4.1,39.2,1.1,1.4,80.6,2.3,4.7,1,0,0.9,3,0
Austin Reaves,Shooting Guard,36,28.9,10.8,3.4,7.1,48.8,1.3,3.5,36,2.6,2.9,89.6,3.1,2.2,0.6,0.4,1.4,0,0
Grayson Allen,Shooting Guard,42,27.3,10.7,3.5,7.8,44.5,1.9,4.6,40.2,1.9,2.1,91,3.6,2.6,0.7,0.2,1.1,0,0
Naji Marshall,Small Forward,43,25.1,10.5,3.6,8.3,43.6,1.1,3.3,33.3,2.1,2.7,79.8,3.7,2.5,0.8,0.2,1.3,0,0
Quentin Grimes,Shooting Guard,36,29.2,10.5,3.6,8,45.5,1.9,5.3,37,1.3,1.6,80.4,3.4,2,0.8,0.4,1.1,0,0
Mike Conley,Point Guard,37,29.5,10.4,3.4,8.8,39.2,1.8,5,36.8,1.7,2.2,80,2.4,7.5,1,0.2,1.6,4,0
Brandon Clarke,Power Forward,39,19.5,10.4,4.2,6.3,66.4,0,0.2,16.7,2,2.7,72.6,5.5,1.1,0.6,0.7,1.1,5,0
Naz Reid,Center,40,18.1,10.4,4.2,7.7,53.7,0.9,2.8,33,1.2,1.7,69.1,4.9,1,0.5,1,1.3,3,0
Shake Milton,Shooting Guard,42,23.3,10.3,4,7.9,50.3,0.9,2.2,38.7,1.5,1.8,84,3,3.4,0.4,0.2,1.4,1,0
Ivica Zubac,Center,46,29.3,10.3,4.1,6.6,61.8,0,0,0,2.1,3,70,10.5,1,0.4,1.3,1.9,17,0
Monte Morris,Point Guard,40,28.5,10.3,4,8.4,47.2,1.4,3.4,39.7,1,1.3,78.4,3.4,5.5,0.8,0.2,0.9,2,0
Caleb Martin,Small Forward,37,31.4,10.2,3.9,8.4,45.8,1.4,3.6,39.6,1,1.3,79.2,4.8,1.8,1.1,0.4,1.2,0,0
Doug McDermott,Small Forward,40,20.4,10.1,3.8,7.9,47.8,1.8,4.4,41.1,0.8,1.1,73.8,2.4,1.5,0.2,0.2,0.9,0,0
Seth Curry,Shooting Guard,33,22.4,10.1,3.7,8.1,45.9,1.8,4.4,41.7,0.8,0.9,96.6,2.2,2.1,0.6,0.2,1,0,0
Patrick Williams,Power Forward,45,29.1,10,3.7,8.1,46,1.5,3.5,42.1,1.1,1.2,88.9,4.1,1.3,0.7,0.9,1.3,0,0
Jalen Smith,Power Forward,45,19.6,9.8,3.7,7.9,46.2,0.9,3.2,27.6,1.6,2.1,77.7,5.9,1,0.4,0.8,1.2,6,0
Killian Hayes,Point Guard,45,26.7,9.8,4,10.2,39,1.2,3.6,32.3,0.8,0.9,81,2.8,5.8,1.3,0.4,2,2,0
Derrick White,Point Guard,47,26,9.8,3.3,7.6,43.9,1.5,4.1,36.6,1.7,1.9,85.7,3,3.4,0.7,0.9,1,1,0
AJ Griffin,Forward,43,20.8,9.8,3.9,8,48.7,1.6,4.1,39.5,0.4,0.4,88.9,2.1,1,0.8,0.1,0.7,0,0
Gabe Vincent,Point Guard,33,25.5,9.7,3.5,8.5,41.4,1.6,5.1,32.3,1,1.2,84.6,2.2,2.8,0.9,0.1,1.5,0,0
Al Horford,Center,37,30.6,9.6,3.7,7.6,48.4,2.1,4.8,43.2,0.2,0.3,66.7,6.3,2.6,0.5,1,0.5,4,0
Ayo Dosunmu,Shooting Guard,43,27.7,9.6,3.9,7.7,50.6,0.9,2.7,32.8,0.9,1.1,79.6,3.1,2.6,0.7,0.3,1.4,0,0
Aaron Nesmith,Small Forward,41,23.4,9.5,3.3,7.9,41.7,1.4,4.1,35.1,1.5,1.7,87.1,3.7,1.2,0.8,0.4,1,1,0
Santi Aldama,Power Forward,42,22.5,9.5,3.4,7,48.6,1.3,3.5,38.1,1.4,2,71.1,4.9,1.2,0.7,0.8,0.7,2,0
Josh Hart,Shooting Guard,43,34.2,9.5,3.5,7.1,49.8,0.7,2,33,1.7,2.4,72.8,8.3,4,1.1,0.2,1.7,7,0
Zach Collins,Power Forward,35,20.5,9.5,3.7,6.7,54.2,0.6,1.6,37.5,1.5,2.1,72,5.7,2.5,0.4,0.7,1.9,2,0
Damion Lee,Shooting Guard,47,22.8,9.4,3,6.6,46.3,1.9,3.8,48.6,1.5,1.6,93.2,3.4,1.5,0.4,0.1,1.1,0,0
Corey Kispert,Small Forward,38,27.6,9.4,3.3,6.8,48.2,1.8,4.3,41.7,1.1,1.3,83.7,2.8,1.4,0.6,0.1,0.8,0,0
Jose Alvarado,Point Guard,45,21.8,9.4,3.4,8.3,41,1.5,4.3,34,1.1,1.4,79.4,2.5,3.2,1.2,0.2,1.4,0,0
Georges Niang,Small Forward,44,19.9,9.3,3.2,7.1,45.4,2.3,5.5,42,0.6,0.6,92.6,2.4,1.1,0.4,0.2,0.8,0,0
Royce O'Neale,Power Forward,42,34.8,9.3,3.2,8.2,39.4,2.2,5.6,40,0.6,0.8,68.6,4.9,4.1,0.9,0.7,1.7,2,1
Onyeka Okongwu,Power Forward,46,24.9,9.3,3.8,6.1,62.8,0,0.1,0,1.6,2.2,73,7.5,1,0.6,1.3,1,8,0
Chris Boucher,Power Forward,41,20.3,9.3,3.3,7,46.7,0.7,2.5,29.1,2,2.7,75.2,5.4,0.5,0.7,0.7,0.5,6,0
Jeremy Sochan,Forward,40,25.9,9.2,3.8,8.2,46.2,0.5,2,23.5,1.1,1.7,64.2,4.9,2.4,0.8,0.5,1.7,0,0
Cedi Osman,Small Forward,46,21.9,9.1,3.3,7.2,46.7,1.3,3.9,34.4,1.1,1.6,67.1,2.3,1.5,0.5,0.1,0.8,1,0
Grant Williams,Power Forward,46,27.6,9.1,3.1,6.4,48.8,1.5,3.7,40.9,1.4,1.6,86.3,4.7,1.7,0.7,0.4,1,1,0
Terance Mann,Shooting Guard,47,22.7,8.7,3.4,6.6,52.3,0.8,2.3,36.1,1,1.4,74.2,3.7,2,0.6,0.3,1,1,0
Kevin Love,Power Forward,40,20.2,8.7,2.8,7.1,39.1,1.7,4.9,35.6,1.4,1.6,88.9,7,1.9,0.2,0.2,1.2,5,0
Jarred Vanderbilt,Power Forward,47,24.4,8.6,3.4,6.2,55.9,0.4,1.1,34,1.3,1.9,68.9,8,2.8,1,0.3,1.4,7,0
Steven Adams,Center,41,26.9,8.6,3.8,6.2,60.6,0,0,0,1,3,35.2,11.4,2.3,0.8,1.1,1.9,14,0
Dorian Finney-Smith,Power Forward,33,31.5,8.5,3,7.5,40.2,1.8,5.4,34.5,0.6,0.9,69,4.1,1.3,0.9,0.5,0.9,0,0
